create table ava_list (
cfr text primary key,
state text,
name text,
county text,
within text,
contains text);

copy ava_list from stdin with csv header;
cfr,state,name,county,within,contains
9.200,CA,Mokelumne River,San Joaquin,Lodi,
9.98,CA,Monterey,Monterey,Central Coast,Arroyo Seco|Hames Valley|San Bernabe|San Lucas|Santa Lucia|Highlands
9.231,CA,Moon Mountain District Sonoma County,Sonoma,North Coast|Sonoma Valley,
9.131,CA,Mt. Harlan,San Benito,Central Coast,
9.123,CA,Mt. Veeder,Napa,Napa Valley|North Coast,
9.23,CA,Napa Valley,Napa,North Coast,Atlas Peak|Calistoga|Chiles Valley|Coombsville|Diamond Mountain District|Howell Mountain|Los Carneros|Mt. Veeder|Oak Knoll District of Napa Valley|Oakville|Rutherford|Spring Mountain District|St. Helena|Stags Leap District|Wild Horse Valley|Yountville
9.30,CA,North Coast,Lake|Marin|Mendocino|Napa|Solano|Sonoma,,Alexander Valley|Anderson Valley|Atlas Peak|Benmore Valley|Bennett Valley|Big Valley District–Lake County|Calistoga|Chalk Hill|Chiles Valley|Clear Lake|Cole Ranch|Coombsville|Diamond Mountain District|Dry Creek Valley|Eagle Peak Mendocino County|Fort Ross-Seaview|Fountaingrove District|Green Valley of the Russian River Valley|Guenoc Valley|High Valley|Howell Mountain|Kelsey Bench–Lake County|Knights Valley|Los Carneros|McDowell Valley|Mendocino|Mendocino Ridge|Moon Mountain|District Sonoma|County|Mt. Veeder|Napa Valley|Northern Sonoma|Oak Knoll District of Napa Valley|Oakville|Pine Mountain—Cloverdale Peak|Potter Valley|Red Hills Lake County|Redwood Valley|Rockpile|Russian River Valley|Rutherford|Solano County Green Valley|Sonoma Coast|Sonoma Mountain|Sonoma Valley|Spring Mountain District|St. Helena|Stags Leap District|Suisun Valley|Wild Horse Valley|Yorkville Highlands|Yountville
9.106,CA,North Yuba,Yuba,Sierra Foothills,
9.70,CA,Northern Sonoma,Sonoma,North Coast,Alexander Valley|Chalk Hill|Dry Creek|Green Valley of Russian River Valley|Knights Valley|Pine Mountain-Cloverdale Peak|Rockpile|Russian River Valley|Sonoma Coast
9.161,CA,Oak Knoll District of Napa Valley,Napa,Napa Valley|North Coast,
9.134,CA,Oakville,Napa,Napa Valley|North Coast,
9.88,CA,Pacheco Pass,San Benito,Central Coast|San Francisco Bay|Santa Clara Valley,
9.39,CA,Paicines,San Benito,Central Coast|San Benito,
9.84,CA,Paso Robles,San Luis Obispo,Central Coast,Adelaida District|Creston District|El Pomar District|Paso Robles Estrella District|Paso Robles Geneseo District|Paso Robles Highlands District|Paso Robles Willow Creek District|San Juan Creek|San Miguel District|Santa Margarita Ranch|Templeton Gap District
9.241,CA,Paso Robles Estrella District,San Luis Obispo,Central Coast|Paso Robles,
9.242,CA,Paso Robles Geneseo District,San Luis Obispo,Central Coast|Paso Robles,
9.243,CA,Paso Robles Highlands District,San Luis Obispo,Central Coast|Paso Robles,
9.244,CA,Paso Robles Willow Creek District,San Luis Obispo,Central Coast|Paso Robles,
9.220,CA,Pine Mountain-Cloverdale Peak,Mendocino|Sonoma,North Coast|Northern Sonoma,Alexander Valley
